2026-03-27 16:46:33 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 2
2026-03-27 16:49:53 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 3
2026-03-27 16:49:55 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 4
2026-03-27 16:59:08 | Candidat ID: 3 | Session: 49 | Action: Infraction détectée | Total infractions: 5
2026-04-06 12:26:47 | Candidat ID: 11 | Session: 57 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 12:31:50 | Candidat ID: 11 | Session: 57 | Action: Changement de fenêtre/onglet | Total infractions: 2
2026-04-06 12:41:42 | Candidat ID: 10 | Session: 57 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 12:41:52 | Candidat ID: 10 | Session: 57 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-06 12:42:40 | Candidat ID: 10 | Session: 57 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-04-06 12:42:48 | Candidat ID: 10 | Session: 57 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-04-06 12:42:53 | Candidat ID: 10 | Session: 57 | Action: Sortie de la fenêtre d'examen | Total infractions: 5
2026-04-06 13:02:45 | Candidat ID: 17 | Session: 61 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 13:03:04 | Candidat ID: 16 | Session: 61 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 13:03:34 | Candidat ID: 16 | Session: 61 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-06 13:10:41 | Candidat ID: 8 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 13:10:47 | Candidat ID: 12 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 13:10:52 | Candidat ID: 8 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-06 13:20:58 | Candidat ID: 8 | Session: 59 | Action: Infraction détectée | Total infractions: 1
2026-04-06 13:33:30 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 1
2026-04-06 22:55:06 | Candidat ID: 12 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 22:55:30 | Candidat ID: 12 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-06 22:57:26 | Candidat ID: 8 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-06 22:59:38 | Candidat ID: 8 | Session: 49 | Action: Infraction détectée | Total infractions: 1
2026-04-06 22:59:40 | Candidat ID: 8 | Session: 49 | Action: Infraction détectée | Total infractions: 2
2026-04-06 23:00:21 | Candidat ID: 8 | Session: 49 | Action: Infraction détectée | Total infractions: 3
2026-04-06 23:00:21 | Candidat ID: 8 | Session: 49 | Action: Infraction détectée | Total infractions: 4
2026-04-06 23:00:48 | Candidat ID: 8 | Session: 49 | Action: Infraction détectée | Total infractions: 5
2026-04-06 23:00:49 | Candidat ID: 8 | Session: 49 | Action: Infraction détectée | Total infractions: 6
2026-04-06 23:01:30 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 1
2026-04-06 23:33:11 | Candidat ID: 12 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-04-06 23:33:18 | Candidat ID: 12 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-04-06 23:33:19 | Candidat ID: 8 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 2
2026-04-06 23:34:01 | Candidat ID: 12 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 5
2026-04-06 23:35:21 | Candidat ID: 8 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 3
2026-04-06 23:36:30 | Candidat ID: 8 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 4
2026-04-06 23:36:33 | Candidat ID: 8 | Session: 58 | Action: Changement de fenêtre/onglet | Total infractions: 5
2026-04-06 23:45:26 | Candidat ID: 13 | Session: 59 | Action: Infraction détectée | Total infractions: 1
2026-04-07 11:41:49 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 1
2026-04-07 11:43:31 | Candidat ID: 6 | Session: 59 | Action: Infraction détectée | Total infractions: 1
2026-04-07 11:44:17 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 2
2026-04-07 11:46:00 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 3
2026-04-07 12:00:20 | Candidat ID: 6 | Session: 59 | Action: Infraction détectée | Total infractions: 2
2026-04-07 12:01:18 | Candidat ID: 6 | Session: 59 | Action: Infraction détectée | Total infractions: 3
2026-04-07 12:01:26 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 4
2026-04-07 12:26:17 | Candidat ID: 12 | Session: 58 | Action: Sortie de la fenêtre d'examen | Total infractions: 1
2026-04-07 12:26:19 | Candidat ID: 12 | Session: 58 | Action: Clic droit interdit | Total infractions: 2
2026-04-07 12:28:16 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 1
2026-04-07 12:28:20 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 2
2026-04-07 12:28:40 | Candidat ID: 12 | Session: 59 | Action: Infraction détectée | Total infractions: 3
2026-04-07 12:29:41 | Candidat ID: 6 | Session: 59 | Action: Infraction détectée | Total infractions: 1
